地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
[' 日本'],['长崎健司'],['2018'],['96'],"['山下大辉', '三宅健太', '志田未来', '生濑胜久', '冈本信彦', '佐仓绫音', '石川界人', '梶裕贵', '增田俊树', '广桥凉', '畠中祐', '井上麻里奈', '真堂圭', '古岛清孝', '奈良彻', '西田雅一', '细谷佳正', '喜多村英梨', '悠木碧', '名塚佳织', '小山力也', '小形满', '木村良平', '大悟', '饭田利信', '佐藤健辅', '富樫美铃', '福西胜也', '小林爱']",['我的英雄学院：两位英雄 僕のヒーローアカデミア THE MOVIE ～2人の英雄～'],"['动作', '动画']",['7.2'],['22570'],[' 日语']
[' 日本'],"['冈田麿里', '筱原俊哉']",['2018'],['115'],"['石见舞菜香', '入野自由', '樱井优辉', '茅野爱衣', '梶裕贵', '细谷佳正', '佐藤利奈', '日笠阳子', '泽城美雪', '杉田智和', '久野美咲', '平田广明', '徐斌', '栗本有规', '宍户准之介', '岩川泰千', '岩崎博', '河本启佑', '咲野俊介', '伊东美弥子', '浅野真由美', '莲岳大', '内田夕夜', '前田爱', '松川央树', '岩崎谅太', '本桥大辅', '水中雅章', '柳田淳一', '川上晃太', '佐佐健太', '岛袋美由利', '矢野奖吾', '笠间淳', '藤间隼', '绵贯龙之介']",['朝花夕誓 さよならの朝に約束の花をかざろう'],"['动画', '奇幻']",['6.9'],['31506'],[' 日语']
[' 美国 / 中国大陆'],['史蒂芬·C·米勒'],['2018'],['93'],"['西尔维斯特·史泰龙', '黄晓明', '戴夫·巴蒂斯塔', '杰西·麦特卡尔菲', '杰米·金', '50分', '约翰·威斯利·查特曼', '唐辰瀛', '泰伦·伍德利', '泰勒·乔恩·奥尔森', '提图斯·维里沃', '谢伊·巴克纳', '丽迪雅·赫尔', '阿什利·库萨托', '罗旖凡', '罗温·布赛义德', '贝莉·柯伦', '泽科·扎基', '文森特·杨', '埃里克·纽纳姆', '马克·希克斯', '彼特·温兹', '奚梦瑶', '罗曼·米蒂齐扬', '戈登·迈克尔斯', '婕咪·埃迪', '约瑟夫·布莱克·门泽尔', '乔·吉尔希翁', '阿方索·A·杰克逊', '奥罗拉·卡琳', '德方塔·弗里曼', '科里·温斯顿', '佩里·约翰逊', '麦克·里德', '瑞恩·牛顿', '蒂莫西·米勒', '埃里克·本德罗斯', '德里克·瑞安·杜克', '大卫·邓斯顿', 'J·麦克罗伊']",['金蝉脱壳2：冥府 Escape Plan 2: Hades'],"['动作', '惊悚']",['3.2'],['32111'],[' 英语']
[' 美国 / 加拿大'],['苏珊娜·福格尔'],['2018'],['117'],"['米拉·库尼斯', '凯特·麦克金农', '贾斯汀·塞洛克斯', '萨姆·修汉', '薇尔玛·斯泽克斯', '哈桑·明哈杰', '凯文·亚当斯', '吉莲·安德森', '伊万娜·萨赫诺', '简·库丁', '保罗·雷瑟', '弗雷德·迈拉麦德', '詹姆斯·弗雷特', '卡罗琳·皮克尔斯', '贾斯婷·瓦希伯格', '汤姆·斯托顿', '罗德里克·希尔']",['我的间谍前男友 The Spy Who Dumped Me'],"['喜剧', '动作']",['6.2'],['40878'],[' 英语 / 俄语 / 法语']
[' 美国'],['朗·霍华德'],['2018'],['135'],"['阿尔登·埃伦瑞奇', '艾米莉亚·克拉克', '伍迪·哈里森', '唐纳德·格洛弗', '保罗·贝坦尼', '乔纳斯·索塔莫', '菲比·沃勒-布里奇', '沃维克·戴维斯', '坦迪·牛顿', '克林特·霍华德', '伊安·肯尼', '理查德·迪克森']",['游侠索罗：星球大战外传 Solo: A Star Wars Story'],"['动作', '科幻', '冒险']",['6.9'],['43678'],[' 英语']
[' 日本'],['今井一晓'],['2018'],['109'],"['水田山葵', '大原惠美', '嘉数由美', '木村昴', '关智一', '三石琴乃', '松本保典', '荻野志保子', '金元寿子', '山下大辉', '折笠富美子', '悠木碧', '大友龙三郎', '早见沙织', '胜杏里', '乃村健次', '鸟海胜美', '陶山章央', '龟井芳子', '一条和矢', '渡边宜嗣', '高桥茂雄', '长泽雅美', '大泉洋']",['哆啦A梦：大雄的金银岛 ドラえもん のび太の宝島'],"['动画', '奇幻', '冒险']",['6.5'],['29106'],[' 日语']
[' 中国大陆'],['刘杰'],['2018'],['96'],"['杨幂', '郭京飞', '李鸿其']",['宝贝儿'],['剧情'],['5.2'],['35253'],[' 汉语普通话']
[' 澳大利亚'],['雷·沃纳尔'],['2018'],['100'],"['罗根·马歇尔-格林', '梅拉里·沃列何', '哈里森·吉尔伯特森', '本尼迪克·哈迪', '克里斯托弗·卡比', '理查德·考索恩', '琳达·克罗珀', '贝蒂·加布里埃尔', '罗斯科·坎贝尔', '理查德·阿纳斯塔西奥斯', '史蒂夫·丹尼尔森', '迈克尔·M·福斯特', '雷纳·加拉赫', '克莱顿·雅各布森']",['升级 Upgrade'],"['动作', '科幻', '惊悚']",['8.1'],['86983'],[' 英语']
[' 日本'],['福田雄一'],['2018'],['135'],"['小栗旬', '菅田将晖', '桥本环奈', '柳乐优弥', '吉泽亮', '三浦春马', '洼田正孝', '室毅', '长泽雅美', '冈田将生', '木村绿子', '佐藤二朗', '中村勘九郎', '堂本刚', '堤真一', '胜地凉', '夏菜', '户塚纯贵', '立木文彦']",['银魂2 銀魂2 掟は破るためにこそある'],"['喜剧', '动作', '冒险']",['7.4'],['22124'],[' 日语']
[' 爱尔兰 / 英国 / 美国'],['欧格斯·兰斯莫斯'],['2018'],['119'],"['奥利维娅·科尔曼', '艾玛·斯通', '蕾切尔·薇兹', '尼古拉斯·霍尔特', '乔·阿尔文', '马克·加蒂斯', '蒂莫西·英纳斯', '珍妮·莱恩斯福德', '詹姆斯·史密斯', '詹姆斯·梅尔维尔', '杰克·维尔']",['宠儿 The Favourite'],"['剧情', '喜剧', '同性', '传记']",['7.4'],['51384'],[' 英语']
[' 英国 / 美国'],['大卫·斯雷德'],['2018'],['90'],"['菲恩·怀特海德', '克雷格·帕金森', '爱丽丝·洛维', '阿西姆·乔杜里', '威尔·保尔特', '塔露拉·哈登', '卡特里奥·诺克斯', '保罗·布拉德利', '乔纳森·阿里斯', 'A·J·霍顿', '弗勒尔·基思', '劳拉·埃弗兰', '阿伦·阿萨德', '苏珊妮·伯登', '杰夫·明特', '乔恩-乔·英克彭', '汤姆·麦卡尔', '埃利·皮尔西', '斯蒂芬·拉什布鲁克', '罗森达·桑德尔', '桑德拉·特蕾丝']",['黑镜：潘达斯奈基 Black Mirror: Bandersnatch'],"['剧情', '科幻', '悬疑', '惊悚']",['6.9'],['54050'],[' 英语']
[' 美国'],['阿里·艾斯特'],['2018'],['127'],"['亚历克斯·沃尔夫', '加布里埃尔·伯恩', '托妮·科莱特', '米莉·夏普洛', '克里斯蒂·萨默海斯', '摩根·伦德', '马洛里·贝克特尔', '杰克·布朗', '布赖恩·拉谢尔', '海蒂·门德兹', '莫伊塞斯 L·托瓦', '贾罗德·菲利普斯', '安·唐德', '布罗克·麦金尼', '扎克瑞·亚瑟', '奥斯丁·R·格兰特']",['遗传厄运 Hereditary'],"['悬疑', '惊悚', '恐怖']",['7.1'],['78675'],[' 英语']
[' 中国大陆'],['小沈阳'],['2018'],['99'],"['小沈阳', '潘斌龙', '宋芸桦', '金士杰', '刘桦', '胡明', '曹瑞', '陈惠敏', '姚中仁', '李立群', '苑琼丹', '肖央', '杨树林', '陈汉典', '九孔', '纳豆', '沈春阳', '高捷', '马浴柯']",['猛虫过江'],"['喜剧', '动作']",['3.7'],['33190'],[' 汉语普通话']
[' 美国'],"['伊桑·科恩', '乔尔·科恩']",['2018'],['133'],"['哈利·米尔林', '佐伊·卡赞', '连姆·尼森', '詹姆斯·弗兰科', '大卫·克鲁霍尔特兹', '汤姆·威兹', '克兰西·布朗', '蒂姆·布雷克·尼尔森', '布莱丹·格里森', '比尔·赫克', '斯蒂芬·鲁特', '泰恩·黛莉', '拉尔夫·伊内森', '切尔西·罗斯', '绍尔·鲁宾内克', '琼乔·奥雷尔', '马修·维利希', '杰西·卢肯', '保罗·瑞', '葛人杰·海恩斯', '杰弗森·梅斯', '山姆·狄龙', '比利·洛克伍德', '汤姆·普罗克特', 'E·E·贝尔', '丹尼·麦卡锡', '杰克莫·巴泽尔', '伊索·阿克瑞恩']",['巴斯特·斯克鲁格斯的歌谣 The Ballad of Buster Scruggs'],"['喜剧', '歌舞', '西部']",['8.5'],['55147'],[' 英语']
[' 中国大陆 / 香港'],['阚家伟'],['2018'],['100'],"['甄子丹', '陈乔恩', '喻亢', '骆明劼', '汤君慈', '汤君耀', '李靖筠', '刘朝健', '林秋楠', '云千千', '林嘉华', '张坚庭', '骆应钧', '李枫', '欧阳伟豪', '楼南光', '张文杰']",['大师兄 大師兄'],"['喜剧', '动作']",['5.1'],['27282'],[' 粤语']
[' 英国'],['大卫·斯特登'],['2018'],['85'],"['约瑟夫·梅', '泰莉莎·加拉赫', '凯瑞·莎勒', '大卫·麦金', '金宝·张', '约翰·哈斯勒', '彼得·安德烈', '蒂娜·德赛', '露西·蒙格马利']",['托马斯大电影之世界探险记 Thomas &amp; Friends: Big World! Big Adventures! The Movie'],"['动画', '儿童']",['7.1'],['1181'],[' 英语']
[' 英国 / 中国大陆 / 波多黎各 / 美国'],['杰弗利·纳赫马诺夫'],['2018'],['107'],"['基努·里维斯', '爱丽丝·伊芙', '艾米丽·阿琳·林德', '托马斯·米德蒂奇', '恩杰伊·安东尼', '约翰·奥提兹', '尼亚切·海邓迪', '艾莉亚·莱蕊克·勒布', '艾梅柏·里维拉', '艾梅柏·汤森', '杰弗里·霍尔斯曼', '桑娴·洛格罗诺', '奥马尔·克鲁兹·索托', '伊万·J·托雷斯·拉桑塔', '让·皮埃尔·普拉茨', '伊夫林·迪安-奥姆斯特德']",['克隆人 Replicas'],"['科幻', '悬疑', '犯罪']",['6.1'],['10657'],[' 英语']
[' 日本'],['三宅唱'],['2018'],['106'],"['柄本佑', '染谷将太', '石桥静河', '足立智充', '山本亚依']",['你的鸟儿会唱歌 きみの鳥はうたえる'],"['剧情', '爱情']",['7.6'],['5342'],[' 日语']
[' 韩国'],['姜炯哲'],['2018'],['133'],"['都暻秀', '朴慧秀', '吴政世', '金民浩', '朴真珠', '白仁权', '杰瑞德·格里姆斯', '罗斯·凯特尔']",['摇摆狂潮 스윙키즈'],"['剧情', '歌舞', '战争']",['8.2'],['25198'],[' 韩语']
[' 中国大陆'],['霍猛'],['2018'],['93'],"['杨太义', '李云虎 ', '万众 ', '聂栋才 ']",['过昭关'],"['剧情', '家庭', '儿童']",['7.5'],['3238'],[' 河南方言']
[' 香港 / 中国大陆'],['黄真真'],['2018'],['109'],"['薛凯琪', '陈意涵', '张钧甯', '迈克·泰森', '王水林', '陈宝山', '阮金红', '范湉湉']",['闺蜜2'],"['喜剧', '爱情']",['2.6'],['17899'],[' 汉语普通话']
[' 德国'],['米夏埃尔·赫尔比希'],['2018'],['125'],"['弗莱德里奇·穆克', '卡罗利妮·舒赫', '大卫·克劳斯', '艾丽西娅·冯·里特贝格', '托马斯·克莱舒曼', '乔纳斯·霍登里德尔', '蒂尔曼·多布勒', '克里斯蒂安·内特', '罗纳德·库克利斯', '塞巴斯蒂安·胡克', '乌尔里奇·布兰德霍夫', '柏恩德·麦克·莱德', '凯·伊沃·保利兹', '贝恩德·斯特格曼', '安婕·特拉乌']",['气球 Ballon'],"['剧情', '惊悚', '历史']",['8.4'],['14090'],[' 德语 / 英语']
[' 中国大陆'],['钱嘉乐'],['2018'],['99'],"['郑伊健', '陈小春', '谢天华', '钱嘉乐', '林晓峰', '曾志伟', '佘诗曼', '张雅玫', '吴永伦']",['黄金兄弟'],"['动作', '犯罪']",['5.0'],['39541'],[' 粤语 / 汉语普通话']
[' 中国大陆'],['顾长卫'],['2018'],['99'],"['白客', '蓝盈莹', '张海宇', '周楚濋', '曹骏', '王玉雯', '蒋易', '李晨晖', '范明', '蒋雯丽']",['遇见你真好'],"['剧情', '喜剧', '爱情']",['4.6'],['19164'],[' 汉语普通话']
[' 中国大陆'],['非行'],['2018'],['110'],"['蔡珩', '顾璇', '于恒', '成泰燊', '马浴柯', '陈雨锶']",['云南虫谷'],"['动作', '奇幻', '冒险']",['3.2'],['33124'],[' 汉语普通话']
[' 中国大陆 / 香港'],['刘伟强'],['2018'],['104'],"['古天乐', '陈学冬', '郭碧婷', '包贝尔', '王太利', '周冬雨', '吴樾', '潘斌龙', '孔连顺', '刘浩', '梁大维', '许君聪', '方中信', '何润东', '薛凯琪', '颖儿', '李灿森', '卢惠光']",['武林怪兽'],"['喜剧', '奇幻', '武侠']",['3.5'],['20795'],[' 汉语普通话']
[' 美国'],['艾尔伯特·休斯'],['2018'],['96'],"['柯蒂·斯密特-麦菲', '恰克', '约翰内斯·豪克尔·约翰内森', '娜塔莎·迈尔兹', '蕾奥娜·维埃拉', '延斯·赫尔腾', '梅赛德斯·德拉泽尔达', '普里亚·拉贾拉特南', '斯潘塞·博加特', '帕特里克·弗拉纳根', '迈克尔·克鲁斯-代赫勒', '马辛·科瓦奇克']",['阿尔法：狼伴归途 Alpha'],"['剧情', '冒险']",['6.5'],['29211'],[' 英语']
[' 中国大陆'],['朱延平'],['2018'],['103'],"['王宁', '孔连顺', '王智', '吴孟达', '梁超', '郝劭文', '张子栋', '李欣蕊', '张峻豪', '今井隆星', '宋小宝', '曾志伟', '叶全真']",['新乌龙院之笑闹江湖'],"['剧情', '喜剧', '动作']",['3.5'],['14073'],[' 汉语普通话']
[' 美国'],['科林·哈迪'],['2018'],['96'],"['德米安·比齐尔', '泰莎·法米加', '乔纳斯·布洛凯', '邦妮·阿伦斯', '维拉·法米加', '帕特里克·威尔森', '英格丽·比苏', '夏洛特·霍普', '桑德拉·特蕾丝', '奥古斯特·马图洛', '迈克尔·史麦利', '大卫·霍罗维奇', '丽丽·博尔丹', '斯嘉丽·希克斯', '丽兹·科菲', '迪·布拉雷·贝克尔', '黛布拉·威尔逊', '马克·斯达格', '莉迪亚·科洛科', '艾玛·阿普尔顿', '约翰尼·科瓦内', '丹尼尔·曼德尔', '西蒙·瑞', '桑德拉·罗斯科']",['修女 The Nun'],"['悬疑', '惊悚', '恐怖']",['5.9'],['31603'],[' 英语 / 法语 / 罗马尼亚语 / 拉丁语']
[' 美国 / 日本'],['达米恩·查泽雷'],['2018'],['141'],"['瑞恩·高斯林', '克莱尔·芙伊', '杰森·克拉克', '凯尔·钱德勒', '寇瑞·斯托尔', '派屈克·福吉特', '克里斯托弗·阿波特', '塞伦·希德', '奥莉维亚·汉密尔顿', '巴勃罗·施瑞博尔', '谢伊·惠格姆', '卢卡斯·哈斯', '伊桑·恩布里', '布莱恩·达西·詹姆斯', '科里·迈克尔·史密斯', '克里斯·斯万博格']",['登月第一人 First Man'],"['剧情', '传记', '历史']",['7.7'],['30610'],[' 英语']
[' 中国大陆 / 香港'],['丁晟'],['2018'],['114'],"['王凯', '马天宇', '王大陆', '余皑磊', '林雪', '吴樾', '李梦', '张艺上', '姜珮瑶', '李岷城', '宁浩', '韩寒', '丁晟', '曾志伟']",['英雄本色2018'],"['剧情', '动作']",['4.6'],['33053'],[' 汉语普通话']
[' 美国'],['苏珊娜·比尔'],['2018'],['124'],"['桑德拉·布洛克', '崔凡特·罗兹', '约翰·马尔科维奇', '莎拉·保罗森', '杰基·韦佛', '罗莎·萨拉查', '丹妮尔·麦克唐纳', '里尔·莱尔·哈瓦瑞', '汤姆·霍兰德', '机关枪凯利', '黄荣亮', '普路特·泰勒·文斯', '维维恩·莱拉·布莱尔', '帕敏德·纳格拉', '丽贝卡·彼得根', '艾米·古麦尼克', '泰勒·汉德雷', '海皮·安德森', '大卫·达斯马齐连', '基思·雅各', '克里斯托弗洛根', '弗兰克·莫特克', '泰德·霍利斯', '麦特·伦纳德']",['蒙上你的眼 Bird Box'],"['剧情', '科幻', '惊悚']",['7.1'],['26213'],[' 英语']
[' 美国'],['查尔斯·斯通三世'],['2018'],['103'],"['凯里·欧文', '里尔·莱尔·哈瓦瑞', '沙奎尔·奥尼尔', '克里斯·韦伯', '雷吉·米勒', '内特·罗宾逊', '丽萨·莱斯利', '埃丽卡·阿什', '蒂凡尼·哈迪斯', '尼克·克罗尔', '迈克·艾普斯', 'J·B·斯穆夫', '亚当·拉扎尔-怀特', '比尔·沃尔顿', '乔治·格文', '史蒂夫·纳什', '迪肯贝·穆托姆博', '宁宁·利克斯', '特伦斯·罗斯摩尔', '德韦恩·博伊德', '以利亚·埃弗雷特', '盖奇·劳森']",['德鲁大叔 Uncle Drew'],"['喜剧', '运动']",['6.4'],['18787'],[' 英语']
[' 美国'],['詹姆斯·弗雷'],['2018'],['105'],"['达科塔·约翰逊', '詹米·多南', '阿莉尔·凯贝尔', '埃里克·约翰逊', '瑞塔·奥拉', '卢克·葛莱姆斯', '布兰特·道格尔迪', '泰勒·霍奇林', '马克斯·马蒂尼', '劳拉·雅各布斯', '费伊·马斯特森']",['五十度飞 Fifty Shades Freed'],"['剧情', '爱情', '情色']",['5.6'],['23632'],[' 英语']
[' 法国'],['弗兰克·盖思堂彼得'],['2018'],['100'],"['弗兰克·盖思堂彼得', '马利克·班泽拉', '伯纳尔·法西', '萨尔瓦托雷·埃斯波西托', '萨巴纳·奥扎尼', '爱德华·蒙多特', '朗齐·贝迪亚', '茂萨·马斯克里', '夏洛特·加布里斯']",['的士速递5 Taxi 5'],"['喜剧', '动作', '犯罪']",['5.4'],['19270'],[' 法语 / 意大利语']
[' 美国'],"['凯瑞·柯克帕特里克', '杰森·雷西格']",['2018'],['96'],"['查宁·塔图姆', '詹姆斯·柯登', '赞达亚', '勒布朗·詹姆斯', '科曼', '吉娜·罗德里格兹', '丹尼·德维托', '吉米·塔特罗', '雅拉·沙希迪', '伊利·亨利']",['雪怪大冒险 Smallfoot'],"['喜剧', '动画', '歌舞', '冒险']",['7.4'],['17176'],[' 英语']
[' 美国'],['鲍兹·亚金'],['2018'],['111'],"['卢克·普拉尔', '斯特林·杰里斯', '威尔·帕顿', '科比·乔治', '卡丁·乔治', '尼古拉斯·J·奥利韦里', '萨曼莎·玛西丝', '罗伯特·约翰·伯克', '纳迪娅·亚历山大', '露西·沃特斯', '坦米·布兰查德', '大卫·阿隆·贝克']",['寄宿学校 Boarding School'],"['悬疑', '恐怖']",['7.3'],['36042'],[' 英语']
[' 印度'],['维贾伊·克利须那·阿查里雅'],['2018'],['164'],"['阿米尔·汗', '卡特莉娜·卡芙', '阿米达普·巴强', '劳埃德·欧文', '阿明·阿卜杜勒·奎德', '法缇玛·萨那·纱卡', '洛尼特·罗伊', '杰奇·史洛夫', '谢恩·约翰·克鲁格', '巴拉特·巴蒂', '曼吉特·辛格', '乔·阿泽帕迪', '穆罕默德·齐尚·艾布', '瑟仁德·帕尔', '沙棘·乔杜里', '罗曼·扬科维奇']",['印度暴徒 Thugs of Hindostan'],"['喜剧', '动作', '冒险']",['5.9'],['19871'],[' 印地语']
[' 日本'],['石田祐康'],['2018'],['117'],"['北香那', '苍井优', '钉宫理惠', '潘惠美', '福井美树', '能登麻美子', '久野美咲', '西岛秀俊', '竹中直人']",['企鹅公路 ペンギン・ハイウェイ'],"['动画', '奇幻', '冒险']",['7.9'],['12287'],[' 日语']
[' 丹麦 / 法国 / 德国 / 瑞典'],['拉斯·冯·提尔'],['2018'],['152'],"['马特·狄龙', '布鲁诺·甘茨', '乌玛·瑟曼', '希芳·法隆', '苏菲·格拉宝', '丽莉·克亚芙', '杰瑞米·戴维斯', '爱德华·斯皮伊尔斯', '大卫·拜利', '刘智泰']",['此房是我造 The House That Jack Built'],"['喜剧', '惊悚', '犯罪']",['7.3'],['37676'],[' 英语 / 德语 / 意大利语']
[' 美国 / 加拿大'],['保罗·费格'],['2018'],['117'],"['安娜·肯德里克', '布蕾克·莱弗利', '亨利·戈尔丁', '伊恩·霍', '约书亚·萨坦', '格伦达·布拉甘扎', '安德鲁·兰内斯', '凯利·麦柯马克', '阿帕纳·纳彻', '达斯汀·米利甘', '丹妮尔·布尔贡', '吉亚·桑德赫', '鲁伯特·弗兰德', '诺林·古拉姆高斯', '巴希尔·萨拉赫丁', '梅洛迪·约翰逊', '麦丽莎·奥尼尔', '埃里克·约翰逊', '琳达·卡德里尼', '莎拉·贝克', '珍·斯马特', '莱斯勒·唐纳森', '克里斯·欧文斯', '罗莎娜·斯科托', '多梅尼克·塞纳', '辛迪·戴']",['一个小忙 A Simple Favor'],"['剧情', '悬疑', '犯罪']",['7.2'],['37595'],[' 英语']
[' 日本 / 中国大陆'],"['李豪凌', '易小星', '竹内良贵']",['2018'],['74'],"['坂泰斗', '寿美菜子', '白石晴香', '安元洋贵', '大冢刚央', '长谷川育美', '白客', '彭师欣', '唐雅菁', '陈颖晖', '梁达伟', '林美玉']",['肆式青春 詩季織々'],['动画'],['5.6'],['17118'],[' 汉语普通话 / 日语 / 粤语 / 上海话']
[' 美国'],"['约翰·弗朗西斯·戴利', '乔纳森·M·戈尔茨坦']",['2018'],['100'],"['杰森·贝特曼', '瑞秋·麦克亚当斯', '凯尔·钱德勒', ' 莎朗·豪根', '比利·马格努森', '拉蒙尼·莫里斯', '凯莉·班伯里', '杰西·普莱蒙', '迈克尔·C·豪尔', '丹尼·赫斯顿', '切尔西·帕瑞蒂', '卡米利·陈', '泽瑞克·威廉姆斯', '约书亚·米克尔', 'R·F·戴利']",['游戏之夜 Game Night'],"['喜剧', '悬疑', '犯罪']",['7.1'],['38247'],[' 英语']
[' 韩国'],['李章焄'],['2018'],['132'],"['苏志燮', '孙艺珍', '金智焕', '金贤秀', '李有镇', '高昌锡', '李俊赫', '孙云恩', '裴侑蓝']",['现在去见你 지금 만나러 갑니다'],"['剧情', '爱情', '奇幻']",['8.2'],['55326'],[' 韩语']
[' 美国'],['安东尼·福奎阿'],['2018'],['121'],"['丹泽尔·华盛顿', '佩德罗·帕斯卡', '艾什顿·桑德斯', '奥森·比恩', '比尔·普尔曼', '梅丽莎·里奥', '乔纳森·斯卡弗', '沙基纳·贾弗里', '卡罗琳·戴', '特德·阿尔奇迪', '杰伊·赫农', '马克西米利安·麦克纳马拉', '安德烈·阿罗维斯基']",['伸冤人2 The Equalizer 2'],"['动作', '惊悚', '犯罪']",['7.0'],['22330'],[' 英语 / 法语 / 土耳其语 / 希伯来语']
[' 日本'],['大森立嗣'],['2018'],['100'],"['黑木华', '树木希林', '多部未华子', '原田麻由', '川村纱也', '滝泽惠', '山下美月', '郡山冬果', '冈本智礼']",['日日是好日'],['剧情'],['7.7'],['3212'],[' 日语']
[' 比利时 / 荷兰'],['卢卡斯·德霍特'],['2018'],['105'],"['维克托·波尔斯特', '阿里耶·沃索尔特', '奥利弗·博达特', '蒂伊门·戈瓦尔茨', '卡特简·达门', '瓦伦提金·达恩斯', '克里斯·泰斯', '安吉洛·提森', '艾莉西亚·德佩克']",['女孩 Girl'],"['剧情', '同性']",['8.2'],['14532'],[' 法语 / 弗拉芒语 / 英语']
[' 香港'],['邱礼涛'],['2018'],['100'],"['吴镇宇', '张智霖', '佘诗曼', '周秀娜', '郑则仕', '刘浩龙', '张继聪', '李灿森', '卫诗雅', '杨柳青', '灰熊', '林嘉华']",['泄密者 洩密者們'],"['剧情', '犯罪']",['5.3'],['22792'],[' 粤语 / 汉语普通话']
[' 美国'],['小斯蒂芬·卡普尔'],['2018'],['130'],"['迈克尔·B·乔丹', '西尔维斯特·史泰龙', '泰莎·汤普森', '杜夫·龙格尔', '弗罗里安·穆特鲁', '布里吉特·尼尔森', '罗素·霍恩斯比', '伍德·哈里斯', '米洛·文堤米利亚', '菲利西亚·拉斯海德', '迈克尔·巴佛', '安德烈·沃德', '迈尔斯·哈姆帕斯', '伊沃·南迪', '克里斯托弗·曼恩']",['奎迪：英雄再起 Creed II'],"['剧情', '运动']",['7.1'],['16705'],[' 英语']
[' 美国'],['伊莱·罗斯'],['2018'],['97'],"['布鲁斯·威利斯', '文森特·多诺费奥', '伊丽莎白·苏', '迪恩·诺里斯', '博·纳普', '金伯莉·伊丽丝', '卡米拉·莫罗', '兰·卡琉', '杰克·凯西', '罗尼·吉恩·贝尔维斯', '可比·毕丝·布兰顿', '安德里亚斯·艾波吉斯', '伊恩·马休斯', '温迪·古逊', '瓦罗娜·塞茨瓦埃洛', '路易斯·奥利瓦', '杰森·卡弗利尔', '夸西·宋桂']",['虎胆追凶 Death Wish'],"['动作', '惊悚', '犯罪']",['6.5'],['18327'],[' 英语']
[' 美国'],['德鲁·高达'],['2018'],['141'],"['杰夫·布里吉斯', '辛西娅·艾莉佛', '达科塔·约翰逊', '乔恩·哈姆', '克里斯·海姆斯沃斯', '卡莉·史派妮', '刘易斯·普尔曼', '尼克·奥弗曼', '泽维尔·多兰', '谢伊·惠格姆', '马克·奥布莱恩', '查尔斯·哈尔福德', '吉姆·奥希尔', '瑞贝卡·图兰', '比利·威克曼', '威廉·B·戴维斯', '曼尼·贾希尼托', '乔纳森·怀特赛尔', '凯瑟琳·伊莎贝尔', '萨拉·史密斯']",['皇家酒店谋杀案 Bad Times at the El Royale'],"['剧情', '悬疑', '惊悚', '犯罪']",['6.9'],['20612'],[' 英语']
[' 法国 / 中国大陆 / 日本 / 美国'],"['亚罗·切尼', '斯科特·摩西尔']",['2018'],['86'],"['本尼迪克特·康伯巴奇', '卡梅伦·丝蕾', '拉什达·琼斯', '法瑞尔·威廉姆斯', '特里斯坦·奥哈尔', '基南·汤普森', '山姆·拉瓦尼诺', '雷蒙·汉密尔顿', '安吉拉·兰斯伯瑞', '斯嘉丽·艾斯特维兹', '迈克尔·贝亚蒂', '罗里·艾伦', '卡特·海斯汀斯', '卡洛斯·阿拉斯拉奇', '约翰·卡西尔', '凯茜·卡瓦蒂妮', '丹尼·曼恩', '杰里米·马克斯韦尔', '汤森·科尔曼', '斯科特·摩西尔', '梅里·康德伦', '拉瑞恩·纽曼', '布莱恩·T·德莱尼', '约翰·德米塔', '比尔·法玛尔', '乔尔·斯维唐', '亚伦·福尔斯', '明迪·斯特林', '塔拉·斯特朗', '杰斯·哈梅尔', '雷吉纳·托芬', '吉姆·瓦德']",['绿毛怪格林奇 The Grinch'],"['喜剧', '动画', '奇幻']",['6.2'],['8079'],[' 英语']
[' 美国 / 印度 / 加拿大'],['伊莱·罗斯'],['2018'],['104'],"['杰克·布莱克', '凯特·布兰切特', '欧文·瓦卡罗', '凯尔·麦克拉克伦', '芮妮·戈兹贝里', '考林·加普', '桑尼·苏尔季克', '洛伦扎·伊佐', '布拉克斯顿·比肯', 'Vanessa Anne Williams', '查尔斯·格林', ""De'Jon Watts"", '艾伦·比尔纳', 'Christian Calloway', '伊莱·罗斯', 'Anna Chuancheun', '德梅特里·兰德尔', '佩拉·米德尔顿']",['滴答屋 The House with a Clock in its Walls'],"['喜剧', '惊悚', '奇幻', '冒险']",['5.5'],['13857'],[' 英语']
[' 中国大陆 / 美国'],"['赵锐', '克里斯托弗·詹金斯']",['2018'],['90'],"['赵路', '武皓栋', '殷筱瑜', '金蝉妃', '童自荣', '吴磊', '赵乾景', '李传缨', '姜玉玲', '曹真', '王肖兵']",['妈妈咪鸭'],"['喜剧', '动画', '家庭', '冒险']",['7.1'],['16831'],[' 汉语普通话 / 英语']
