地区,导演,年份,时长,演员,电影名,类型,评分,评论数,语言
[' 法国 / 西班牙 / 罗马尼亚 / 美国 / 比利时'],['雅克·欧迪亚'],['2018'],['121'],"['约翰·C·赖利', '杰昆·菲尼克斯', '杰克·吉伦哈尔', '里兹·阿迈德', '卡罗尔·凯恩', '鲁特格尔·哈尔', '克瑞德·布拉顿', '约翰内斯·豪克尔·约翰内森', '尼尔斯·阿贺斯图普', '莱克茜·本博-哈特', '丽贝卡·鲁特', '菲利普·罗施', '邓肯·拉克鲁瓦', '伊恩·雷迪丁顿', '阿尔多·马兰']",['希斯特斯兄弟 The Sisters Brothers'],"['犯罪', '西部', '冒险']",['7.7'],['8210'],[' 英语']
[' 美国'],['玛丽埃尔·海勒'],['2018'],['107'],"['梅丽莎·麦卡西', '理查德·E·格兰特', '多莉·韦尔斯', '本·法尔科内', '格里高利·克洛斯蒂舍夫斯基', '简·库丁', '斯蒂芬·斯皮内拉', '克里斯蒂安·纳瓦罗', '普·班德赫', '埃里克·拉雷·哈维', '布兰登·斯科特·琼斯', '雪伊·德林恩', '罗莎尔·卡农', '安娜·迪佛·史密斯', '马克·埃文·杰克逊']",['你能原谅我吗？ Can You Ever Forgive Me?'],"['剧情', '喜剧', '传记', '犯罪']",['7.1'],['5421'],[' 英语']
[' 美国'],['理查德·谢帕德'],['2018'],['90'],"['艾莉森·威廉姆斯', '阿莱娜·霍夫曼', '斯蒂文·韦伯', '洛根·布朗宁', '格利尼斯·戴维斯', '格雷姆·达菲', '史蒂芬·常', '莎伦·克兰德尔', 'Evelyn Chew', '温妮·孔', 'Christina Jastrzembska', 'Doralynn Mui', 'Milah Thompson', 'Molly Grace', 'Vince Tsang', 'Leanne Wang']",['完美琴仇 The Perfection'],"['剧情', '惊悚', '恐怖']",['5.7'],['1848'],[' 英语']
[' 俄罗斯'],['阿列克赛·西多洛夫'],['2018'],['139'],"['亚历山大·佩特罗夫', '文森兹·凯弗', '维克多·多勃朗拉沃夫', '伊琳娜·斯达申鲍姆', '谢苗·特列斯库诺夫', '尤利斯·鲍里索夫', '阿尔焦姆·贝斯特罗夫', '约书亚·格罗斯', '伊格·克里普诺夫', '彼得·斯科沃尔佐夫']",['T-34坦克 T-34'],"['动作', '历史', '战争']",['7.6'],['8811'],[' 俄语']
[' 日本'],"['静野孔文', '濑下宽之']",['2018'],['90'],"['宫野真守', '樱井孝宏', '花泽香菜', '杉田智和', '梶裕贵', '诹访部顺一', '三宅健太', '堀内贤雄', '中井和哉', '山路和弘', '早见沙织', '上田丽奈', '小泽亚李', '铃村健一']",['哥斯拉：噬星者 GODZILLA 星を喰う者'],"['动作', '科幻', '动画']",['5.8'],['3791'],[' 日语']
[' 美国'],['巴塔萨·科马库'],['2018'],['96'],"['山姆·克拉弗林', '谢琳·伍德蕾', '杰弗瑞·托马斯', '伊丽莎白·霍桑', '格蕾丝·帕尔默', '塔米·阿什克拉夫特', '凯尔·达米拉米安', '露娜·坎贝尔', '扎克·贝雷斯福德', '锡亚莱·吐诺卡']",['惊涛飓浪 Adrift'],"['爱情', '灾难']",['6.8'],['11471'],[' 英语']
[' 韩国'],['金泰均'],['2018'],['110'],"['金允石', '朱智勋', '陈善圭', '郑钟俊', '许真', '金重基', '金英熊', '郑基燮', '李凤莲', '全国焕', '金正洙', '裴海善', '权素贤', '元贤俊']",['暗数杀人 암수살인'],"['剧情', '惊悚', '犯罪']",['6.7'],['8646'],[' 韩语']
[' 日本'],['三木康一郎'],['2018'],['118'],"['福士苍汰', '高畑充希', '广濑爱丽丝', '大野拓朗', '山本凉介', '前野朋哉', '竹内结子']",['旅猫日记 旅猫リポート'],['剧情'],['7.4'],['2817'],[' 日语']
[' 中国大陆'],['马小刚'],['2018'],['63'],"['韩朴俊', '朱颜曼滋', '何索', '李心敏', '韩秋池', '尹航', '刘鹏', '荆民强', '红花', '穆梦娇', '吴雨珏']",['罪途2之救赎代价'],"['剧情', '悬疑', '犯罪']",['6.7'],['8642'],[' 汉语普通话']
[' 中国大陆'],"['冯巩', '崔俊杰']",['2018'],['91'],"['冯巩', '毛俊杰', '刘昊然', '牛莉', '贾玲', '张小斐', '岳云鹏', '姜宏波', '白凯南', '潘斌龙', '涂松岩', '宋宁', '梁天', '夏凡', '梁超']",['幸福马上来'],['喜剧'],['3.8'],['8697'],[' 汉语普通话']
